[96, [6.119999999999999, 3.0, 3.5999999999999996, 1.32]]
[93, [6.84, 3.5999999999999996, 5.04, 1.44]]
[78, [6.6, 2.88, 4.56, 1.32]]
[66, [6.96, 3.24, 4.919999999999999, 1.2]]
[58, [6.24, 3.24, 4.68, 1.68]]
[69, [7.319999999999999, 3.36, 4.8, 1.56]]
[90, [6.96, 3.12, 4.8, 1.44]]
[94, [6.84, 3.48, 5.04, 1.56]]
[79, [6.6, 2.88, 4.44, 1.2]]
[63, [6.72, 3.48, 4.32, 1.56]]
[80, [6.96, 3.24, 4.68, 1.44]]
[68, [6.72, 3.0, 4.68, 1.32]]
[59, [6.0, 2.4, 4.2, 1.2]]
[88, [6.6, 3.12, 5.28, 1.44]]
[77, [6.84, 3.12, 4.2, 1.2]]
[86, [6.72, 3.5999999999999996, 4.919999999999999, 1.56]]
[52, [6.6, 2.76, 4.8, 1.56]]
[61, [7.199999999999999, 2.64, 4.8, 1.2]]
[82, [6.48, 3.5999999999999996, 5.3999999999999995, 1.7999999999999998]]
[92, [6.72, 3.24, 5.04, 1.56]]
[105, [5.88, 3.0, 5.3999999999999995, 2.04]]
[103, [6.72, 3.5999999999999996, 5.159999999999999, 1.56]]
[91, [6.0, 2.76, 3.9599999999999995, 1.2]]
[56, [5.88, 2.88, 3.9599999999999995, 1.2]]
[87, [6.6, 3.0, 4.8, 1.56]]
