[137, [8.28, 3.7199999999999998, 6.119999999999999, 2.76]]
[131, [7.319999999999999, 3.12, 6.72, 1.68]]
[81, [7.199999999999999, 3.24, 6.119999999999999, 1.92]]
[141, [8.04, 3.5999999999999996, 6.24, 2.76]]
[138, [6.96, 3.24, 6.119999999999999, 2.28]]
[145, [7.08, 3.5999999999999996, 6.119999999999999, 2.16]]
[116, [7.199999999999999, 2.64, 6.0, 1.7999999999999998]]
[142, [7.56, 3.0, 6.0, 2.28]]
[111, [6.96, 3.36, 6.119999999999999, 2.88]]
[147, [6.96, 3.24, 6.119999999999999, 2.28]]
[133, [7.56, 4.08, 6.72, 2.88]]
[118, [6.72, 3.36, 5.88, 2.4]]
[120, [7.56, 3.24, 5.88, 2.16]]
[69, [7.08, 3.84, 5.76, 2.16]]
[101, [7.919999999999999, 3.5999999999999996, 6.0, 2.16]]
[152, [6.6, 3.48, 5.76, 2.4]]
[113, [7.8, 3.5999999999999996, 6.6, 2.16]]
[129, [7.68, 3.36, 6.72, 2.64]]
[107, [7.8, 3.84, 6.119999999999999, 2.4]]
[151, [7.08, 3.48, 6.0, 3.0]]
[143, [7.8, 3.5999999999999996, 6.24, 2.4]]
[112, [7.68, 3.84, 6.359999999999999, 2.76]]
[134, [7.199999999999999, 3.5999999999999996, 5.76, 2.16]]
[124, [7.319999999999999, 3.5999999999999996, 5.88, 2.16]]
[108, [7.68, 3.24, 6.359999999999999, 2.28]]
[144, [7.4399999999999995, 4.08, 6.48, 2.76]]
[154, [7.4399999999999995, 3.12, 6.0, 2.16]]
[130, [7.56, 3.36, 6.119999999999999, 1.7999999999999998]]
[100, [6.96, 3.7199999999999998, 5.76, 2.28]]
[149, [7.56, 3.48, 6.72, 2.16]]
[125, [7.68, 3.36, 6.72, 2.52]]
[110, [6.84, 3.0, 6.0, 2.4]]
[123, [7.4399999999999995, 3.36, 5.76, 2.16]]
[137, [7.68, 3.7199999999999998, 6.6, 2.16]]
