[26, [6.0, 4.08, 1.92, 0.48]]
[19, [6.119999999999999, 4.56, 1.7999999999999998, 0.36]]
[9, [5.88, 3.7199999999999998, 1.7999999999999998, 0.12]]
[52, [5.76, 3.84, 1.7999999999999998, 0.24]]
[50, [5.52, 3.9599999999999995, 1.56, 0.12]]
[13, [5.159999999999999, 3.5999999999999996, 1.32, 0.12]]
[0, [6.119999999999999, 4.2, 1.68, 0.24]]
[4, [6.0, 4.32, 1.68, 0.24]]
[42, [5.28, 3.84, 1.56, 0.24]]
[48, [6.359999999999999, 4.44, 1.7999999999999998, 0.24]]
[47, [5.52, 3.84, 1.68, 0.24]]
[23, [6.119999999999999, 3.9599999999999995, 2.04, 0.6]]
[37, [5.88, 3.7199999999999998, 1.7999999999999998, 0.12]]
[40, [6.0, 4.2, 1.56, 0.36]]
[27, [6.24, 4.2, 1.7999999999999998, 0.24]]
[15, [6.84, 5.28, 1.7999999999999998, 0.48]]
[10, [6.48, 4.44, 1.7999999999999998, 0.24]]
[24, [5.76, 4.08, 2.28, 0.24]]
[2, [5.64, 3.84, 1.56, 0.24]]
[21, [6.119999999999999, 4.44, 1.7999999999999998, 0.48]]
[33, [6.6, 5.04, 1.68, 0.24]]
[51, [6.72, 5.28, 1.92, 0.48]]
[5, [6.48, 4.68, 2.04, 0.48]]
[22, [5.52, 4.32, 1.2, 0.24]]
[29, [5.64, 3.84, 1.92, 0.24]]
[6, [5.52, 4.08, 1.68, 0.36]]
[39, [6.119999999999999, 4.08, 1.7999999999999998, 0.24]]
[34, [5.88, 3.7199999999999998, 1.7999999999999998, 0.12]]
[8, [5.28, 3.48, 1.68, 0.24]]
[43, [6.0, 4.2, 1.92, 0.72]]
[31, [6.48, 4.08, 1.7999999999999998, 0.48]]
[3, [5.52, 3.7199999999999998, 1.7999999999999998, 0.24]]
[38, [5.28, 3.5999999999999996, 1.56, 0.24]]
[16, [6.48, 4.68, 1.56, 0.48]]
[44, [6.119999999999999, 4.56, 2.28, 0.48]]
[45, [5.76, 3.5999999999999996, 1.68, 0.36]]
[35, [6.0, 3.84, 1.44, 0.24]]
[25, [6.0, 3.5999999999999996, 1.92, 0.24]]
[30, [5.76, 3.7199999999999998, 1.92, 0.24]]
[1, [5.88, 3.5999999999999996, 1.68, 0.24]]
[46, [6.119999999999999, 4.56, 1.92, 0.24]]
[28, [6.24, 4.08, 1.68, 0.24]]
[20, [6.48, 4.08, 2.04, 0.24]]
[32, [6.24, 4.919999999999999, 1.7999999999999998, 0.12]]
[14, [6.96, 4.8, 1.44, 0.24]]
[18, [6.84, 4.56, 2.04, 0.36]]
[11, [5.76, 4.08, 1.92, 0.24]]
[41, [5.3999999999999995, 2.76, 1.56, 0.36]]
[36, [6.6, 4.2, 1.56, 0.24]]
[49, [6.0, 3.9599999999999995, 1.68, 0.24]]
[7, [6.0, 4.08, 1.7999999999999998, 0.24]]
[12, [5.76, 3.5999999999999996, 1.68, 0.12]]
[17, [6.119999999999999, 4.2, 1.68, 0.36]]
