[53, [7.8, 3.36, 5.52, 1.7999999999999998]]
[133, [7.199999999999999, 3.5999999999999996, 5.76, 2.16]]
[123, [7.319999999999999, 3.5999999999999996, 5.88, 2.16]]
[84, [8.04, 3.7199999999999998, 5.64, 1.7999999999999998]]
[98, [7.68, 3.84, 5.3999999999999995, 1.7999999999999998]]
[137, [6.96, 3.24, 6.119999999999999, 2.28]]
[141, [7.56, 3.0, 6.0, 2.28]]
[85, [7.56, 2.76, 5.28, 1.56]]
[64, [8.04, 3.7199999999999998, 5.28, 1.68]]
[144, [7.08, 3.5999999999999996, 6.119999999999999, 2.16]]
[75, [8.04, 3.5999999999999996, 6.0, 2.04]]
[111, [6.96, 3.36, 6.119999999999999, 2.88]]
[110, [6.84, 3.0, 6.0, 2.4]]
[129, [7.319999999999999, 3.12, 6.72, 1.68]]
[146, [6.96, 3.24, 6.119999999999999, 2.28]]
[71, [7.319999999999999, 3.36, 5.64, 1.44]]
[57, [7.919999999999999, 3.48, 5.52, 1.56]]
[65, [6.72, 3.5999999999999996, 5.3999999999999995, 1.7999999999999998]]
[118, [6.72, 3.36, 5.88, 2.4]]
[70, [7.56, 3.0, 5.88, 1.7999999999999998]]
[60, [7.08, 3.5999999999999996, 5.04, 1.7999999999999998]]
[62, [7.319999999999999, 3.48, 5.64, 1.68]]
[152, [6.6, 3.48, 5.76, 2.4]]
[154, [7.4399999999999995, 3.12, 6.0, 2.16]]
[68, [7.08, 3.84, 5.76, 2.16]]
[128, [7.56, 3.36, 6.119999999999999, 1.7999999999999998]]
[122, [7.4399999999999995, 3.36, 5.76, 2.16]]
[81, [7.199999999999999, 3.24, 6.119999999999999, 1.92]]
[116, [7.199999999999999, 2.64, 6.0, 1.7999999999999998]]
[120, [7.56, 3.24, 5.88, 2.16]]
[101, [6.96, 3.7199999999999998, 5.76, 2.28]]
[55, [7.56, 3.9599999999999995, 5.64, 1.92]]
[83, [7.199999999999999, 4.08, 5.3999999999999995, 1.92]]
[102, [7.919999999999999, 3.5999999999999996, 6.0, 2.16]]
[54, [6.84, 3.36, 5.3999999999999995, 1.56]]
[97, [8.4, 3.84, 5.64, 1.68]]
[76, [7.199999999999999, 3.48, 5.3999999999999995, 1.7999999999999998]]
[89, [7.319999999999999, 3.5999999999999996, 5.52, 1.68]]
[151, [7.08, 3.48, 6.0, 3.0]]
[73, [7.919999999999999, 3.5999999999999996, 5.28, 1.68]]
[72, [7.68, 3.48, 5.159999999999999, 1.56]]
[74, [8.16, 3.36, 5.76, 1.68]]
[99, [8.28, 3.7199999999999998, 5.88, 1.7999999999999998]]
[67, [7.4399999999999995, 2.64, 5.3999999999999995, 1.7999999999999998]]
[95, [7.4399999999999995, 3.48, 5.159999999999999, 1.56]]
